,title,date,desc,content
0,"Sorry,",2020-10-21,Mouthwash,"Mouthwash is designed to kill germs in your mouth. It is, Id have to say, pretty good at its job. And yet: we do not seriously trust mouthwash to prevent the transmission of common colds, strep infec… [+4209 chars]"
1,Check,2020-10-21,Navigating,"Navigating air travel during the COVID-19 pandemic has been tricky. First and foremost, you want to make sure that youre as safe as possible. On top of that, there are fewer routes and flights availa… [+3231 chars]"
2,Twitter,2020-10-11,Twitter,"The tweet violated the platforms rules against sharing coronavirus misinformation
Illustration by Alex Castro / The Verge
Twitter disabled some sharing options on a tweet from President Trump on Su… [+2699 chars]"
3,Coronavirus,2020-10-22,A,"The coronavirus pandemic is already shaping home design trends, with special-function rooms and products that serve needs particular to the pandemic rising in popularity, according to a recent survey… [+992 chars]"
4,Coronavirus,2020-10-12,What,Many leaders most notably President Trump have described the arrival of a coronavirus vaccine as an off switch that will instantly normalize our lives. But experts are warning of a perplexing and fru… [+1562 chars]
5,Coronavirus,2020-10-14,Startling,"In Europe, where a second wave is engulfing countries, the situation is even more troubling. The continent had been held up against the U.S. as an example of effective virus control, but now Spain, F… [+1215 chars]"
6,Coronavirus,2020-10-07,The,The 66-year-old Catholic priest was one of the first to invite students to return to campus and argued in a Times Op-Ed in May that the college had a moral obligation to educate students and not be c… [+1696 chars]
7,Coronavirus,2020-10-06,The,"Since the season ended in October last year, Coney Islands amusement parks have remained closed even as similar venues in the region have reopened. More than a thousand seasonal and full time workers… [+1337 chars]"
8,Coronavirus,2020-10-13,Congress,"Apoorva Mandavilli, who covers science and global health for The Times, told us that these antibodies distilled from the blood of patients who have recovered from the coronavirus were most likely to … [+1379 chars]"
9,Coronavirus,2020-10-08,The,"In New York City, the largest resurgence of the virus since it was the epicenter of the pandemic in the spring has sparked fears that the second wave has already begun. The number of new cases recent… [+3438 chars]"
10,Trump,2020-10-03,The,"The first lady, Melania Trump, and the presidents close adviser Hope Hicks were also infected, as was Ronna McDaniel, the Republican National Committee chairwoman, who was last with Mr. Trump a week … [+2595 chars]"
11,Trump,2020-10-02,Catch,"President Trump tests positive, new developments in contact tracing and testing, and Americas largest school districts navigate reopening. Heres what you should know: 
Want to receive this weekly ro… [+3928 chars]"
12,Coronavirus,2020-10-06,Infections,The outbreaks at the White House and Capitol Hill underscore how difficult it is for Washington to get the virus under control when it has almost no control over the federal government and when senio… [+2062 chars]
13,Coronavirus,2020-10-19,Precaution,"The Canyons School District, in an affluent suburb of Salt Lake City, has been deeply divided about the virus. Some parents urged the district to trust public health experts, who warned that the area… [+1539 chars]"
14,Coronavirus,2020-10-21,Alaska,"And yet, reporting by our colleagues Sheila Kaplan, Sharon LaFraniere, Noah Weiland and Maggie Haberman may offer jittery Americans some solace. They uncovered a few victories for the agency in stand… [+3110 chars]"
15,Coronavirus,2020-10-23,Hospitals,"Once Americans begin taking vaccines for the coronavirus, government researchers will face a monumental task: monitoring the health of millions of Americans to look for potential problems and side ef… [+2562 chars]"
16,Coronavirus,2020-10-15,The,"Like way, way down.
Across American colleges and universities, freshman enrollment has dropped more than 16 percent from last year, the National Student Clearinghouse Research Center reported today.… [+1262 chars]"
17,Coronavirus,2020-10-28,France,"But as hospitals fill at an alarming rate, doctors and medical experts say the closures are necessary. In Germany, the number of patients in hospitals has doubled in the past 10 days, and in France, … [+1303 chars]"
18,Trump,2020-10-20,With,"He added, People are tired of hearing Fauci and these idiots, all these idiots who got it wrong.
Dr. Faucis cautionary words are borne out by the numbers. More than 70,450 new coronavirus cases were… [+1691 chars]"
